Wed Feb 19 15:43:44 2025    n16_ps1024_1t/ppfunction_results.prof

         222 function calls in 0.007 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.006    0.006    0.006    0.006 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
        1    0.000    0.000    0.007    0.007 /users/speron/anaconda3/lib/python3.11/site-packages/pygad/pygad.py:28(__init__)
        1    0.000    0.000    0.007    0.007 /users/speron/dinamic_ga/n16_ps1024_1t/dc_ga_profiling.py:104(target_program)
        1    0.000    0.000    0.000    0.000 /users/speron/anaconda3/lib/python3.11/logging/__init__.py:1415(_clear_cache)
        2    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 /users/speron/anaconda3/lib/python3.11/site-packages/pygad/pygad.py:1318(round_genes)
        1    0.000    0.000    0.006    0.006 /users/speron/anaconda3/lib/python3.11/site-packages/pygad/pygad.py:1331(initialize_population)
        1    0.000    0.000    0.000    0.000 /users/speron/anaconda3/lib/python3.11/logging/__init__.py:2081(getLogger)
        2    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        2    0.000    0.000    0.000    0.000 /users/speron/anaconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
       71    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 /users/speron/anaconda3/lib/python3.11/logging/__init__.py:576(__init__)
        1    0.000    0.000    0.000    0.000 {method 'clear' of 'list' objects}
        6    0.000    0.000    0.000    0.000 /users/speron/anaconda3/lib/python3.11/logging/__init__.py:228(_acquireLock)
        4    0.000    0.000    0.000    0.000 /users/speron/anaconda3/lib/python3.11/inspect.py:300(ismethod)
        1    0.000    0.000    0.000    0.000 /users/speron/anaconda3/lib/python3.11/logging/__init__.py:435(validate)
        1    0.000    0.000    0.000    0.000 /users/speron/anaconda3/lib/python3.11/logging/__init__.py:1460(setLevel)
        1    0.000    0.000    0.000    0.000 /users/speron/anaconda3/lib/python3.11/logging/__init__.py:912(createLock)
