chain_length,pop_size,total_time,min_memory,max_memory,max_memory_increment
16,1024,0.0012805461883544922,199.20703125,200.70703125,0.75
16,1024,0.0012118816375732422,195.1015625,195.8515625,0.75
16,1024,0.0012671947479248047,201.8515625,203.3515625,0.75
16,1024,0.0011730194091796875,209.3515625,210.8515625,0.75
16,1024,0.001230478286743164,216.8515625,218.3515625,0.75
16,1024,0.0012502670288085938,224.3515625,225.8515625,0.75
16,1024,0.00112152099609375,231.8515625,233.3515625,0.75
16,1024,0.0014951229095458984,239.3515625,240.8515625,0.75
16,1024,0.0011670589447021484,246.8515625,248.3515625,0.75
16,1024,0.001344442367553711,254.3515625,255.8515625,0.75
16,1024,0.001201629638671875,193.3984375,259.6015625,0.0
16,1024,0.0012137889862060547,198.6484375,200.1484375,0.75
16,1024,0.001081705093383789,204.6484375,205.3984375,0.75
16,1024,0.0012650489807128906,211.3984375,212.8984375,0.75
16,1024,0.001157999038696289,218.1484375,219.6484375,1.5
16,1024,0.0011377334594726562,225.6484375,227.1484375,0.75
16,1024,0.0013096332550048828,233.1484375,234.6484375,1.5
16,1024,0.0013248920440673828,240.6484375,242.1484375,0.75
16,1024,0.00121307373046875,247.3984375,248.8984375,0.75
16,1024,0.001211404800415039,254.8984375,256.3984375,0.75
16,1024,0.001214742660522461,194.64453125,196.14453125,0.75
16,1024,0.0011630058288574219,202.14453125,203.64453125,0.75
16,1024,0.0011305809020996094,209.64453125,211.14453125,0.75
16,1024,0.0013797283172607422,217.14453125,218.64453125,0.75
16,1024,0.0012440681457519531,224.64453125,226.14453125,0.75
16,1024,0.0012862682342529297,232.89453125,233.64453125,0.75
16,1024,0.0012249946594238281,240.39453125,241.89453125,0.75
16,1024,0.0011227130889892578,247.14453125,248.64453125,0.75
16,1024,0.0012540817260742188,255.39453125,256.14453125,0.75
16,1024,0.0011494159698486328,191.69921875,191.69921875,0.0
16,1024,0.0012750625610351562,196.94921875,198.44921875,0.75
16,1024,0.0011892318725585938,204.44921875,205.94921875,0.75
16,1024,0.0011959075927734375,212.69921875,214.19921875,1.5
16,1024,0.0013027191162109375,220.19921875,221.69921875,0.75
16,1024,0.001172780990600586,227.69921875,229.19921875,0.75
16,1024,0.0012085437774658203,235.19921875,236.69921875,1.5
16,1024,0.0013909339904785156,238.94921875,239.69921875,0.75
16,1024,0.0013573169708251953,246.44921875,247.19921875,0.75
16,1024,0.0011615753173828125,253.19921875,254.69921875,0.75
16,1024,0.0012717247009277344,191.23828125,256.19921875,0.0
16,1024,0.0012776851654052734,197.23828125,198.73828125,1.5
16,1024,0.0011963844299316406,204.73828125,206.23828125,0.75
16,1024,0.0013318061828613281,206.98828125,207.73828125,0.75
16,1024,0.0015454292297363281,212.98828125,213.73828125,0.75
16,1024,0.0012362003326416016,215.23828125,216.73828125,1.5
16,1024,0.001356363296508789,222.73828125,224.23828125,0.75
16,1024,0.0011949539184570312,230.98828125,231.73828125,0.75
16,1024,0.0011281967163085938,237.73828125,239.23828125,0.75
16,1024,0.001165151596069336,245.23828125,246.73828125,0.75
16,1024,0.001129150390625,252.73828125,254.23828125,0.75
