Mon Jan 27 23:24:15 2025    n16_ps2048_4t/ppfunction_results.prof

         91067118 function calls (85640004 primitive calls) in 103.267 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
31552/14014   15.810    0.001   66.332    0.005 /home/speron/paralela/dinamic_ga/n16_ps2048_4t/dgamod.py:143(reward_based_fitness)
2524160/1121521   14.270    0.000    7.217    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:229(__rmul__)
2524160/1121521   14.224    0.000   57.061    0.000 /home/speron/paralela/dinamic_ga/n16_ps2048_4t/dgamod.py:113(calculate_next_state)
12620800/10096640   10.970    0.000   13.062    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:172(__array_finalize__)
  2524160    7.169    0.000    7.169    0.000 {built-in method _warnings.warn}
  2524160    4.724    0.000   23.112    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:117(__new__)
  5048320    4.405    0.000    8.192    0.000 {method 'transpose' of 'numpy.ndarray' objects}
  5048320    3.899    0.000   13.391    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:51(_wrapfunc)
  2524160    3.451    0.000   26.563    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:35(asmatrix)
  5048320    3.133    0.000   16.524    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:630(transpose)
 17683920    3.056    0.000    3.071    0.000 {built-in method builtins.isinstance}
  2524160    2.957    0.000   10.268    0.000 {method 'view' of 'numpy.ndarray' objects}
  2524169    1.691    0.000    1.691    0.000 {built-in method numpy.asarray}
  2524160    1.405    0.000    2.446    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:1621(squeeze)
        8    1.349    0.169    1.505    0.188 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/crossover.py:153(uniform_crossover)
       17    1.335    0.079  101.448    5.968 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:1632(cal_pop_fitness)
  5063082    1.315    0.000    1.315    0.000 {built-in method builtins.getattr}
  2524800    1.279    0.000    1.279    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/lib/_type_check_impl.py:84(real)
  2524160    1.042    0.000    1.042    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
  5048320    0.865    0.000    0.865    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:626(_transpose_dispatcher)
  2524160    0.533    0.000    0.533    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:1617(_squeeze_dispatcher)
  2524800    0.521    0.000    0.521    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/lib/_type_check_impl.py:80(_real_dispatcher)
  2524160    0.439    0.000    0.439    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/multiarray.py:761(dot)
    31552    0.225    0.000  119.469    0.004 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:165(submit)
    31637    0.203    0.000    1.850    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:281(__init__)
    30946    0.189    0.000   14.106    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:327(wait)
    31552    0.160    0.000   34.817    0.001 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:472(acquire)
    31552    0.142    0.000    0.331    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:537(set_result)
158698/141317    0.134    0.000   10.786    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:303(__enter__)
158698/157046    0.128    0.000    0.179    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:306(__exit__)
        8    0.107    0.013    0.232    0.029 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/mutation.py:419(swap_mutation)
31552/14014    0.104    0.000  102.306    0.007 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:54(run)
31552/14014    0.104    0.000   80.684    0.006 /home/speron/paralela/dinamic_ga/n16_ps2048_4t/dgamod.py:332(<lambda>)
    31552    0.093    0.000    1.490    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:428(result)
    31552    0.086    0.000   12.724    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:314(_result_or_cancel)
