Fri Feb 21 10:41:53 2025    n32_ps512_32t_J/ppfunction_results.prof

         402207 function calls (367046 primitive calls) in 1.922 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
148824/119925    0.846    0.000    0.736    0.000 /home/speron/paralela/vect/dinamic_ga/n32_ps512_32t_J/dgamod.py:740(refined_cns)
  936/428    0.362    0.000    0.779    0.002 /home/speron/paralela/vect/dinamic_ga/n32_ps512_32t_J/dgamod.py:785(generate_states)
        2    0.109    0.054    0.117    0.058 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/crossover.py:153(uniform_crossover)
  936/733    0.109    0.000    0.140    0.000 /home/speron/paralela/vect/dinamic_ga/n32_ps512_32t_J/dgamod.py:766(calculate_reward)
   148824    0.093    0.000    0.093    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        3    0.048    0.016    1.784    0.595 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:1632(cal_pop_fitness)
    780/5    0.047    0.000    1.335    0.267 {method 'get' of '_queue.SimpleQueue' objects}
2808/1285    0.026    0.000    0.012    0.000 {built-in method numpy.zeros}
  936/428    0.018    0.000    1.266    0.003 /home/speron/paralela/vect/dinamic_ga/n32_ps512_32t_J/dgamod.py:751(reward_based_fitness_vectorized)
     1369    0.016    0.000    0.016    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      936    0.012    0.000    0.015    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/numeric.py:64(zeros_like)
  936/880    0.012    0.000    0.012    0.000 {built-in method numpy.arange}
      936    0.011    0.000    0.588    0.001 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:165(submit)
  936/428    0.011    0.000    1.349    0.003 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:54(run)
      600    0.010    0.000    0.010    0.000 {method 'index' of 'list' objects}
     1369    0.009    0.000    0.027    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
      936    0.009    0.000    0.021    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:537(set_result)
       80    0.008    0.000    0.008    0.000 {built-in method _thread.start_joinable_thread}
     5620    0.007    0.000    0.013    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:303(__enter__)
      324    0.007    0.000    1.660    0.005 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:327(wait)
     5620    0.007    0.000    0.010    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:306(__exit__)
     1019    0.007    0.000    0.010    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:281(__init__)
     80/3    0.006    0.000    1.718    0.573 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:1025(_bootstrap_inner)
  936/428    0.006    0.000    1.269    0.003 /home/speron/paralela/vect/dinamic_ga/n32_ps512_32t_J/dgamod.py:333(<lambda>)
      936    0.006    0.000    0.013    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:497(set_running_or_notify_cancel)
      936    0.006    0.000    0.030    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2338(sum)
2140/1283    0.005    0.000    0.004    0.000 {method 'acquire' of '_thread.lock' objects}
     3744    0.005    0.000    0.005    0.000 {method '__enter__' of '_thread.RLock' objects}
        2    0.004    0.002    0.008    0.004 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/mutation.py:419(swap_mutation)
     1796    0.004    0.000    0.007    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:398(notify)
     6805    0.004    0.000    0.004    0.000 {built-in method builtins.len}
        5    0.004    0.001    0.008    0.002 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/parent_selection.py:12(steady_state_selection)
     1019    0.003    0.000    0.003    0.000 {method 'put' of '_queue.SimpleQueue' objects}
      936    0.003    0.000    0.010    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:472(acquire)
      780    0.003    0.000    0.009    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:519(release)
      936    0.003    0.000    0.013    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:328(__init__)
      424    0.003    0.000    0.007    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/random.py:363(sample)
     2445    0.003    0.000    0.003    0.000 {method 'copy' of 'numpy.ndarray' objects}
      936    0.003    0.000    1.116    0.001 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:428(result)
  936/428    0.003    0.000    1.298    0.003 /home/speron/paralela/vect/dinamic_ga/n32_ps512_32t_J/dgamod.py:335(<lambda>)
     3990    0.003    0.000    0.003    0.000 {method '__exit__' of '_thread.RLock' objects}
      936    0.002    0.000    1.123    0.001 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:314(_result_or_cancel)
     1016    0.002    0.000    0.007    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:428(notify_all)
        4    0.002    0.001    0.002    0.001 {method 'tolist' of 'numpy.ndarray' objects}
      939    0.002    0.000    1.268    0.001 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:612(result_iterator)
     1016    0.002    0.000    0.002    0.000 {method 'get_nowait' of '_queue.SimpleQueue' objects}
     1872    0.002    0.000    0.002    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2118(shape)
       80    0.002    0.000    6.097    0.076 {method 'join' of '_thread._ThreadHandle' objects}
        1    0.002    0.002    0.002    0.002 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:1336(initialize_population)
      936    0.002    0.000    0.004    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:364(cancel)
        5    0.002    0.000    0.003    0.001 {built-in method builtins.sorted}
      936    0.002    0.000    0.561    0.001 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:184(_adjust_thread_count)
     1385    0.002    0.000    0.003    0.000 {built-in method builtins.isinstance}
     3057    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
     80/3    0.002    0.000    1.718    0.573 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:981(run)
     80/3    0.002    0.000    1.335    0.445 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:70(_worker)
     3751    0.002    0.000    0.002    0.000 {method '__exit__' of '_thread.lock' objects}
      849    0.002    0.000    0.002    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/random.py:245(_randbelow_with_getrandbits)
     1876    0.002    0.000    0.002    0.000 {method '__enter__' of '_thread.lock' objects}
      937    0.001    0.000    0.001    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:122(RLock)
     1176    0.001    0.000    0.003    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:318(_is_owned)
        1    0.001    0.001    1.919    1.919 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:1863(run)
