Sat Jan 25 21:55:55 2025    n16_ps2048_001/ppfunction_results.prof

         88982644 function calls (86458484 primitive calls) in 72.772 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    31552   12.480    0.000   70.267    0.002 /home/speron/paralela/dinamic_ga/n16_ps2048_001/dgamod.py:143(reward_based_fitness)
  2524160   10.721    0.000   56.275    0.000 /home/speron/paralela/dinamic_ga/n16_ps2048_001/dgamod.py:113(calculate_next_state)
12620800/10096640    8.580    0.000   10.138    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:172(__array_finalize__)
  2524160    7.094    0.000    9.018    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:229(__rmul__)
  2524160    5.520    0.000    5.520    0.000 {built-in method _warnings.warn}
  2524160    3.586    0.000   17.803    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:117(__new__)
  5048320    3.185    0.000    6.061    0.000 {method 'transpose' of 'numpy.ndarray' objects}
  5048320    2.833    0.000    9.829    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:51(_wrapfunc)
  2524160    2.416    0.000   20.218    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:35(asmatrix)
  2524160    2.300    0.000    8.025    0.000 {method 'view' of 'numpy.ndarray' objects}
  5048320    2.282    0.000   12.112    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:630(transpose)
 17683920    2.238    0.000    2.248    0.000 {built-in method builtins.isinstance}
  2524169    1.163    0.000    1.163    0.000 {built-in method numpy.asarray}
       17    1.132    0.067   71.537    4.208 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:1632(cal_pop_fitness)
  2524160    1.071    0.000    2.025    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:1621(squeeze)
  2524800    1.041    0.000    1.041    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/lib/_type_check_impl.py:84(real)
  2524160    0.955    0.000    0.955    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
  5063082    0.948    0.000    0.948    0.000 {built-in method builtins.getattr}
        8    0.914    0.114    1.024    0.128 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/crossover.py:153(uniform_crossover)
  5048320    0.666    0.000    0.666    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:626(_transpose_dispatcher)
  2524800    0.407    0.000    0.407    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/lib/_type_check_impl.py:80(_real_dispatcher)
