Sun Jan 26 17:51:15 2025    n16_ps4096_001/ppfunction_results.prof

         177917215 function calls (172870175 primitive calls) in 141.983 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    63088   23.353    0.000  135.043    0.002 /home/speron/paralela/dinamic_ga/n16_ps4096_001/dgamod.py:143(reward_based_fitness)
  5047040   21.052    0.000  108.825    0.000 /home/speron/paralela/dinamic_ga/n16_ps4096_001/dgamod.py:113(calculate_next_state)
25235200/20188160   16.547    0.000   19.766    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:172(__array_finalize__)
  5047040   13.695    0.000   17.348    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:229(__rmul__)
  5047040    9.995    0.000    9.995    0.000 {built-in method _warnings.warn}
  5047040    6.921    0.000   33.906    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:117(__new__)
 10094080    6.011    0.000   11.753    0.000 {method 'transpose' of 'numpy.ndarray' objects}
 10094080    5.632    0.000   19.201    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:51(_wrapfunc)
 35358824    4.732    0.000    4.754    0.000 {built-in method builtins.isinstance}
  5047040    4.671    0.000   38.577    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:35(asmatrix)
 10094080    4.605    0.000   23.806    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:630(transpose)
  5047040    4.447    0.000   15.496    0.000 {method 'view' of 'numpy.ndarray' objects}
       17    3.558    0.209  138.900    8.171 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:1632(cal_pop_fitness)
        8    2.435    0.304    2.672    0.334 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/crossover.py:153(uniform_crossover)
  5047049    2.356    0.000    2.356    0.000 {built-in method numpy.asarray}
  5047040    2.055    0.000    3.658    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:1621(squeeze)
  5047680    1.912    0.000    1.912    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/lib/_type_check_impl.py:84(real)
 10123586    1.839    0.000    1.839    0.000 {built-in method builtins.getattr}
  5047040    1.603    0.000    1.603    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
 10094080    1.313    0.000    1.313    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:626(_transpose_dispatcher)
  5047680    0.815    0.000    0.815    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/lib/_type_check_impl.py:80(_real_dispatcher)
  5047040    0.715    0.000    0.715    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:1617(_squeeze_dispatcher)
  5047040    0.677    0.000    0.677    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/multiarray.py:761(dot)
        8    0.162    0.020    0.346    0.043 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/mutation.py:419(swap_mutation)
    63088    0.133    0.000  135.176    0.002 /home/speron/paralela/dinamic_ga/n16_ps4096_001/dgamod.py:332(<lambda>)
    63096    0.096    0.000    0.096    0.000 {built-in method numpy.zeros}
    29496    0.092    0.000    0.219    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/random.py:363(sample)
     6544    0.078    0.000    0.078    0.000 {method 'index' of 'list' objects}
    29533    0.069    0.000    0.069    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    29525    0.056    0.000    0.154    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
   213081    0.054    0.000    0.054    0.000 {built-in method builtins.len}
    59071    0.045    0.000    0.072    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/random.py:245(_randbelow_with_getrandbits)
    63088    0.040    0.000  135.216    0.002 /home/speron/paralela/dinamic_ga/n16_ps4096_001/dgamod.py:334(<lambda>)
       17    0.031    0.002    0.042    0.002 {built-in method builtins.sorted}
    63096    0.028    0.000    0.028    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2118(shape)
    29506    0.026    0.000    0.180    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:3328(prod)
    63096    0.014    0.000    0.014    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2114(_shape_dispatcher)
    92442    0.014    0.000    0.014    0.000 {method 'getrandbits' of '_random.Random' objects}
    59071    0.012    0.000    0.012    0.000 {method 'bit_length' of 'int' objects}
    29496    0.011    0.000    0.011    0.000 {built-in method _abc._abc_instancecheck}
    29496    0.011    0.000    0.022    0.000 <frozen abc>:117(__instancecheck__)
    69632    0.010    0.000    0.010    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/nsga2.py:264(<lambda>)
    58993    0.010    0.000    0.010    0.000 {method 'add' of 'set' objects}
       32    0.008    0.000    0.008    0.000 {method 'tolist' of 'numpy.ndarray' objects}
       17    0.007    0.000    0.052    0.003 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/parent_selection.py:12(steady_state_selection)
    29525    0.006    0.000    0.006    0.000 {method 'items' of 'dict' objects}
    29515    0.006    0.000    0.006    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/multiarray.py:383(where)
    29506    0.004    0.000    0.004    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:3323(_prod_dispatcher)
       38    0.004    0.000    0.004    0.000 {built-in method numpy.array}
     6982    0.003    0.000    0.003    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.003    0.003    0.003    0.003 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:1336(initialize_population)
        8    0.003    0.000    0.003    0.000 /home/speron/paralela/dinamic_ga/n16_ps4096_001/dgamod.py:69(fidelity)
        8    0.002    0.000    0.026    0.003 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:2303(run_update_population)
       18    0.001    0.000   64.667    3.593 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:2337(best_solution)
        1    0.001    0.001  141.979  141.979 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:1863(run)
        9    0.000    0.000    0.028    0.003 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:2099(run_select_parents)
        1    0.000    0.000    0.004    0.004 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:27(__init__)
       17    0.000    0.000    0.042    0.002 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/nsga2.py:229(sort_solutions_nsga2)
       25    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        1    0.000    0.000  141.983  141.983 /home/speron/paralela/dinamic_ga/n16_ps4096_001/dc_ga_profiling.py:89(target_program)
        8    0.000    0.000    0.000    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/scipy/linalg/_misc.py:17(norm)
        8    0.000    0.000    0.000    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/lib/_function_base_impl.py:579(asarray_chkfinite)
       19    0.000    0.000    0.000    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:3052(max)
        8    0.000    0.000   64.670    8.084 /home/speron/paralela/dinamic_ga/n16_ps4096_001/dgamod.py:336(generation_func)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        8    0.000    0.000    2.672    0.334 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:2186(run_crossover)
