Tue Jan 28 05:47:21 2025    n16_ps4096_4t/ppfunction_results.prof

         182080061 function calls (171235483 primitive calls) in 206.483 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
63088/28037   31.894    0.001  143.058    0.005 /home/speron/paralela/dinamic_ga/n16_ps4096_4t/dgamod.py:143(reward_based_fitness)
5047040/2242833   28.135    0.000   14.264    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:229(__rmul__)
5047040/2242833   27.785    0.000  123.531    0.000 /home/speron/paralela/dinamic_ga/n16_ps4096_4t/dgamod.py:113(calculate_next_state)
25235200/20188160   22.276    0.000   26.138    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:172(__array_finalize__)
  5047040   14.566    0.000   14.566    0.000 {built-in method _warnings.warn}
  5047040    9.281    0.000   46.435    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:117(__new__)
 10094080    8.315    0.000   15.969    0.000 {method 'transpose' of 'numpy.ndarray' objects}
 10094080    7.325    0.000   25.865    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:51(_wrapfunc)
  5047040    6.876    0.000   53.311    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:35(asmatrix)
 10094080    6.184    0.000   32.049    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:630(transpose)
  5047040    6.169    0.000   20.797    0.000 {method 'view' of 'numpy.ndarray' objects}
 35358824    5.677    0.000    5.707    0.000 {built-in method builtins.isinstance}
  5047049    3.661    0.000    3.661    0.000 {built-in method numpy.asarray}
       17    3.465    0.204  202.281   11.899 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:1632(cal_pop_fitness)
        8    3.262    0.408    3.579    0.447 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/crossover.py:153(uniform_crossover)
  5047040    2.802    0.000    5.077    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:1621(squeeze)
 10123586    2.604    0.000    2.604    0.000 {built-in method builtins.getattr}
  5047680    2.594    0.000    2.594    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/lib/_type_check_impl.py:84(real)
  5047040    2.275    0.000    2.275    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
 10094080    1.723    0.000    1.723    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:626(_transpose_dispatcher)
  5047680    1.163    0.000    1.163    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/lib/_type_check_impl.py:80(_real_dispatcher)
  5047040    1.111    0.000    1.111    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:1617(_squeeze_dispatcher)
  5047040    0.862    0.000    0.862    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/multiarray.py:761(dot)
    63088    0.441    0.000  209.258    0.003 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:165(submit)
    63173    0.390    0.000    6.747    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:281(__init__)
    61987    0.361    0.000   36.832    0.001 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:327(wait)
    63088    0.309    0.000   68.234    0.001 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:472(acquire)
    63088    0.299    0.000    0.685    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:537(set_result)
316909/288054    0.245    0.000   30.788    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:303(__enter__)
316909/312350    0.233    0.000    0.324    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:306(__exit__)
        8    0.229    0.029    0.494    0.062 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/mutation.py:419(swap_mutation)
63088/28037    0.205    0.000  167.566    0.006 /home/speron/paralela/dinamic_ga/n16_ps4096_4t/dgamod.py:332(<lambda>)
63088/28037    0.190    0.000  250.959    0.009 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:54(run)
    63088    0.161    0.000   12.517    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:428(result)
    63088    0.150    0.000  112.986    0.002 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:184(_adjust_thread_count)
   252352    0.146    0.000    0.146    0.000 {method '__enter__' of '_thread.RLock' objects}
    63088    0.141    0.000   17.966    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:314(_result_or_cancel)
     6544    0.129    0.000    0.129    0.000 {method 'index' of 'list' objects}
249347/248941    0.127    0.000    0.126    0.000 {method 'acquire' of '_thread.lock' objects}
    29496    0.124    0.000    0.291    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/random.py:363(sample)
    63096    0.122    0.000    0.122    0.000 {built-in method numpy.zeros}
    63088    0.117    0.000   54.480    0.001 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:328(__init__)
    63088    0.113    0.000    2.184    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:364(cancel)
    63088    0.113    0.000    0.232    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:497(set_running_or_notify_cancel)
    29533    0.105    0.000    0.105    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    63105    0.098    0.000   42.254    0.001 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:612(result_iterator)
   338079    0.098    0.000    0.098    0.000 {built-in method builtins.len}
   189519    0.092    0.000    0.092    0.000 {built-in method builtins.hasattr}
63088/28037    0.088    0.000  197.395    0.007 /home/speron/paralela/dinamic_ga/n16_ps4096_4t/dgamod.py:334(<lambda>)
    63089    0.087    0.000    0.087    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:122(RLock)
    29525    0.077    0.000    0.224    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
    63156    0.075    0.000    0.186    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:428(notify_all)
 1333/158    0.074    0.000  130.550    0.826 {method 'get' of '_queue.SimpleQueue' objects}
   190750    0.074    0.000    0.074    0.000 {method '__exit__' of '_thread.lock' objects}
   252562    0.073    0.000    0.073    0.000 {method '__exit__' of '_thread.RLock' objects}
    64489    0.068    0.000    0.093    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:398(notify)
    68/17    0.067    0.001  198.579   11.681 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:998(_bootstrap)
    59070    0.058    0.000    0.093    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/random.py:245(_randbelow_with_getrandbits)
       17    0.054    0.003    0.072    0.004 {built-in method builtins.sorted}
