Mon Jan 27 18:56:11 2025    n16_ps512_4t/ppfunction_results.prof

         22772493 function calls (21542629 primitive calls) in 23.472 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
7888/4285    3.483    0.000   19.828    0.005 /home/speron/paralela/dinamic_ga/n16_ps512_4t/dgamod.py:143(reward_based_fitness)
631040/342888    3.242    0.000   16.343    0.000 /home/speron/paralela/dinamic_ga/n16_ps512_4t/dgamod.py:113(calculate_next_state)
631040/342888    3.121    0.000    1.997    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:229(__rmul__)
3155200/2524160    2.561    0.000    3.033    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:172(__array_finalize__)
   631040    1.609    0.000    1.609    0.000 {built-in method _warnings.warn}
   631040    1.101    0.000    5.283    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:117(__new__)
  1262080    0.930    0.000    1.824    0.000 {method 'transpose' of 'numpy.ndarray' objects}
  1262080    0.886    0.000    3.016    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:51(_wrapfunc)
   631040    0.765    0.000    6.048    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:35(asmatrix)
  1262080    0.722    0.000    3.738    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:630(transpose)
  4421016    0.695    0.000    0.700    0.000 {built-in method builtins.isinstance}
   631040    0.672    0.000    2.354    0.000 {method 'view' of 'numpy.ndarray' objects}
        8    0.425    0.053    0.484    0.060 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/crossover.py:153(uniform_crossover)
   631049    0.370    0.000    0.370    0.000 {built-in method numpy.asarray}
   631040    0.335    0.000    0.579    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:1621(squeeze)
  1265778    0.309    0.000    0.309    0.000 {built-in method builtins.getattr}
   631680    0.297    0.000    0.297    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/lib/_type_check_impl.py:84(real)
       17    0.252    0.015   22.897    1.347 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:1632(cal_pop_fitness)
   631040    0.243    0.000    0.243    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
  1262080    0.208    0.000    0.208    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:626(_transpose_dispatcher)
   631040    0.130    0.000    0.130    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:1617(_squeeze_dispatcher)
   631680    0.114    0.000    0.114    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/lib/_type_check_impl.py:80(_real_dispatcher)
   631040    0.105    0.000    0.105    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/multiarray.py:761(dot)
