Mon Jan 27 15:17:33 2025    n32_ps256_001/ppfunction_results.prof

         22211429 function calls (21579109 primitive calls) in 18.309 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3952    3.004    0.001   17.984    0.005 /home/speron/paralela/dinamic_ga/n32_ps256_001/dgamod.py:143(reward_based_fitness)
   632320    2.708    0.000   14.584    0.000 /home/speron/paralela/dinamic_ga/n32_ps256_001/dgamod.py:113(calculate_next_state)
   632320    2.247    0.000    2.731    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:229(__rmul__)
3161600/2529280    2.206    0.000    2.601    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:172(__array_finalize__)
   632320    1.364    0.000    1.364    0.000 {built-in method _warnings.warn}
   632320    0.852    0.000    4.415    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:117(__new__)
  1264640    0.774    0.000    1.522    0.000 {method 'transpose' of 'numpy.ndarray' objects}
  1264640    0.717    0.000    2.475    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:51(_wrapfunc)
   632320    0.599    0.000    5.014    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:35(asmatrix)
  1264640    0.589    0.000    3.064    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:630(transpose)
  4428136    0.570    0.000    0.571    0.000 {built-in method builtins.isinstance}
   632320    0.565    0.000    2.025    0.000 {method 'view' of 'numpy.ndarray' objects}
   632329    0.329    0.000    0.329    0.000 {built-in method numpy.asarray}
   633600    0.285    0.000    0.285    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/lib/_type_check_impl.py:84(real)
   632320    0.269    0.000    0.484    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:1621(squeeze)
  1266498    0.238    0.000    0.238    0.000 {built-in method builtins.getattr}
   632320    0.215    0.000    0.215    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
  1264640    0.166    0.000    0.166    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:626(_transpose_dispatcher)
        8    0.157    0.020    0.169    0.021 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/crossover.py:153(uniform_crossover)
       17    0.105    0.006   18.105    1.065 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:1632(cal_pop_fitness)
   633600    0.104    0.000    0.104    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/lib/_type_check_impl.py:80(_real_dispatcher)
   632320    0.091    0.000    0.091    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/multiarray.py:761(dot)
   632320    0.088    0.000    0.088    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:1617(_squeeze_dispatcher)
        8    0.010    0.001    0.022    0.003 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/mutation.py:419(swap_mutation)
     3952    0.008    0.000   17.992    0.005 /home/speron/paralela/dinamic_ga/n32_ps256_001/dgamod.py:332(<lambda>)
        8    0.006    0.001    0.007    0.001 /home/speron/paralela/dinamic_ga/n32_ps256_001/dgamod.py:69(fidelity)
     3960    0.006    0.000    0.006    0.000 {built-in method numpy.zeros}
     1885    0.005    0.000    0.005    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1848    0.004    0.000    0.011    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/random.py:363(sample)
     1877    0.004    0.000    0.011    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
    13401    0.003    0.000    0.003    0.000 {built-in method builtins.len}
     3714    0.003    0.000    0.004    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/random.py:245(_randbelow_with_getrandbits)
     3952    0.002    0.000   17.994    0.005 /home/speron/paralela/dinamic_ga/n32_ps256_001/dgamod.py:334(<lambda>)
      400    0.002    0.000    0.002    0.000 {method 'index' of 'list' objects}
     1858    0.002    0.000    0.012    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:3328(prod)
     3960    0.002    0.000    0.002    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2118(shape)
       17    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
       32    0.001    0.000    0.001    0.000 {method 'tolist' of 'numpy.ndarray' objects}
     5928    0.001    0.000    0.001    0.000 {method 'getrandbits' of '_random.Random' objects}
